Umur (bulan),Jenis Kelamin,Tinggi Badan (cm)
0.85,perempuan,0.5715400927538331
0.0,laki-laki,0.14392777737867135
0.6166666666666667,laki-laki,0.5567656131936204
0.0,laki-laki,0.18497949291205495
0.8,laki-laki,0.6033620487296757
0.21666666666666667,perempuan,0.3771988616156514
0.0,perempuan,0.0296944103590972
0.11666666666666667,laki-laki,0.30332646381458817
0.8833333333333333,perempuan,0.6340475062778096
0.08333333333333333,laki-laki,0.391973341175864
0.5333333333333333,perempuan,0.4476617641335887
0.4666666666666667,laki-laki,0.6454124905548962
0.13333333333333333,perempuan,0.1828576304774696
0.06666666666666667,laki-laki,0.13398819808599693
0.4166666666666667,laki-laki,0.4249317955794154
0.8166666666666667,laki-laki,0.9022611352170548
0.5,perempuan,0.5794955817477937
0.23333333333333334,laki-laki,0.3987923317421159
0.9,perempuan,0.8181602515666134
0.5333333333333333,laki-laki,0.6726884528199043
0.8,perempuan,0.8681661823857948
0.26666666666666666,perempuan,0.2930979779652101
0.23333333333333334,perempuan,0.48971220595880915
0.6333333333333333,laki-laki,0.7022374119403295
0.03333333333333333,perempuan,0.26755323600697545
0.95,perempuan,0.6715519543921956
0.45,laki-laki,0.4192493034408721
0.6,perempuan,0.6226825220007229
0.55,laki-laki,0.456753751555258
0.9166666666666666,perempuan,0.731786371060755
0.8166666666666667,laki-laki,0.8420267185484954
0.016666666666666666,perempuan,0.13994132235738344
0.23333333333333334,laki-laki,0.4112938144469114
0.06666666666666667,perempuan,0.15558166821246167
0.85,laki-laki,0.6783709449584477
0.9833333333333333,laki-laki,0.8886231540845507
0.0,perempuan,0.07170338905439566
0.03333333333333333,laki-laki,0.3906631881339705
1.0,laki-laki,0.7249673804945028
0.7666666666666666,perempuan,0.8602106933918342
0.95,perempuan,0.8181602515666134
0.03333333333333333,laki-laki,0.22192834091184666
0.5166666666666666,perempuan,0.5840415754586284
0.3333333333333333,perempuan,0.5783590833200852
0.75,perempuan,0.7420148569101329
0.6333333333333333,perempuan,0.721557885211377
0.95,laki-laki,0.8113412610003615
0.0,laki-laki,0.08667443437572409
0.65,laki-laki,0.5056231839467306
0.8833333333333333,perempuan,0.5533561179104945
0.9,laki-laki,0.6908724276632429
0.6,perempuan,0.7420148569101329
0.7666666666666666,laki-laki,0.7863382955907708
0.3333333333333333,laki-laki,0.4101573160192026
0.03333333333333333,laki-laki,0.3011028872409284
0.6,laki-laki,0.673824951247613
0.9166666666666666,perempuan,0.8783946682351728
0.3833333333333333,laki-laki,0.6408664968440617
0.6166666666666667,laki-laki,0.5601751084767465
0.18333333333333332,perempuan,0.4931217012419352
0.03333333333333333,laki-laki,0.0915212567081537
